,mic_0,mic_1,mic_2,mic_3,mic_4,mic_5,mic_6,output_angle
137,-2,-2,-1,0,-1,-1,-2,30
138,-1,-1,-1,-1,0,-1,-2,30
139,-2,-2,-1,-1,0,-2,-2,30
140,-1,0,-1,-1,0,-2,-1,30
141,-1,0,0,0,0,-2,-1,30
142,-1,0,0,0,0,-1,-1,30
143,-1,-1,0,0,-1,-1,-1,30
144,0,-1,0,0,0,0,0,30
145,0,0,0,0,0,0,-1,30
146,-1,1,1,0,1,1,-1,30
147,1,1,1,1,1,0,1,30
148,0,2,0,-1,0,1,0,30
149,0,0,0,1,1,0,0,30
150,0,1,-1,0,0,0,0,30
151,0,-1,0,0,0,-1,0,30
152,0,0,0,1,0,1,0,30
153,0,1,0,0,0,0,-1,30
154,-1,0,0,0,-1,0,0,30
155,0,-1,-1,1,0,0,0,30
156,0,-1,-1,1,0,-1,1,30
157,-1,-1,0,0,0,1,0,30
158,-1,1,-1,1,1,0,0,30
159,-1,1,0,0,1,1,0,30
160,-1,0,-1,1,0,0,-1,30
161,-1,0,0,0,0,0,0,30
162,-1,0,0,0,1,-1,-1,30
163,-2,0,0,0,0,-1,-1,30
164,0,0,-1,0,0,-1,0,30
165,-1,0,-1,0,0,0,-1,30
166,-2,0,0,0,0,0,-1,30
167,0,1,-1,0,0,-1,-1,30
168,-1,1,-2,-1,0,-1,-1,30
169,-1,0,0,-1,1,-1,-1,30
170,0,0,-1,0,0,-1,-1,30
171,-2,-1,-1,0,-1,-2,-1,30
172,0,-1,-1,-1,1,-1,-1,30
173,-1,-1,-1,0,0,-2,-2,30
174,0,0,0,0,0,-1,-1,30
175,-1,0,-1,-1,0,-1,0,30
176,-2,1,-1,-2,0,-1,0,30
177,-1,0,0,0,-1,-2,-1,30
178,-1,-1,-1,0,0,-1,-1,30
179,-2,-1,-2,-1,1,-1,-1,30
180,0,0,-1,-1,0,-1,-1,30
181,0,0,-1,-1,0,-1,-1,30
182,0,-1,0,-1,0,-1,-1,30
183,0,0,-1,0,0,-1,-1,30
184,-1,0,-1,0,-1,-1,0,30
185,-1,0,-1,-2,0,-2,-2,30
186,-1,0,0,-2,-1,-2,0,30
187,-2,-1,-1,-2,-1,-2,-1,30
188,-2,0,-2,-1,-1,-1,-1,30
189,-2,-1,-1,-2,-1,-2,-1,30
190,-2,-1,-1,-1,0,-2,-1,30
191,-1,1,-2,-1,-1,-1,-1,30
192,-2,0,0,-1,-1,-1,0,30
193,-1,0,-1,-1,-1,-1,0,30
194,-1,0,-1,-1,-1,-1,0,30
195,-1,0,-1,-1,-1,-1,-1,30
196,-1,0,0,-1,-1,-1,0,30
197,0,1,0,-1,-1,-1,0,30
198,-1,0,-1,-1,-1,-1,0,30
199,-1,1,0,-1,-2,-2,0,30
200,0,0,-1,-1,-1,-1,1,30
201,0,0,-1,-1,0,0,1,30
202,-2,0,-1,-1,-1,-2,0,30
203,-1,0,-2,-1,-1,-1,0,30
204,-1,0,-2,0,-1,-2,-1,30
205,-1,0,-1,0,-1,-1,-1,30
206,-1,0,-1,0,0,-1,-1,30
207,0,0,-1,0,-1,-1,-1,30
208,-1,-1,0,0,-1,-1,0,30
209,0,1,-1,-1,-2,-1,0,30
210,1,0,-1,0,0,-2,0,30
211,0,-1,-1,0,0,-1,-1,30
